"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 14 23:41:04 BRT 2023","Wed Jun 14 23:41:22 BRT 2023","18183","","Cadastro Natura","","","","CT-1 - Realizar Cadastro no site Natura",""
"passed","Wed Jun 14 23:40:41 BRT 2023","Wed Jun 14 23:40:54 BRT 2023","12088","","Cadastro AESOP","","","","Realizar Cadastro no site Aesop",""
